ASCII SAMPLE CYCLES :			21082026  zz20 monoliths 1st.mdc
DATE :	21/08/2026	TIME :	12:05:33
CONVERTED CYCLES :			9750
Number of stored cycles			9750
Printed start cycle			1
Printed end cycle			9750
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	14.13	min:	1.68131E-010	max:	3.40415E-010	
'0/1'	16.13	min:	-5.87995E-013	max:	9.41275E-011	
'0/2'	18.16	min:	2.43818E-012	max:	2.42057E-011	
'0/3'	28.19	min:	2.87695E-009	max:	4.88846E-009	
'0/4'	32.22	min:	-6.73765E-013	max:	1.83888E-013	
'0/5'	40.22	min:	-8.66422E-013	max:	-5.88922E-013	
'0/6'	44.28	min:	-9.21663E-013	max:	1.14578E-009	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	'0/4'	'0/5'	'0/6'	
55	21/08/2026	12:06:16:54	43.543	2.20387E-010	5.59615E-011	7.3885E-012	3.5217E-009	-5.97635E-013	-7.94869E-013	7.0334E-010	
56	21/08/2026	12:06:17:34	44.343	2.18253E-010	5.70237E-011	7.37908E-012	3.49998E-009	-6.31372E-013	-7.80596E-013	7.11118E-010	
57	21/08/2026	12:06:18:15	45.153	2.17477E-010	5.74629E-011	7.33375E-012	3.49081E-009	-6.59363E-013	-7.61502E-013	7.13992E-010	
58	21/08/2026	12:06:18:95	45.953	2.17032E-010	5.76304E-011	7.25593E-012	3.48439E-009	-6.38416E-013	-8.04508E-013	7.15262E-010	
59	21/08/2026	12:06:19:76	46.762	2.16605E-010	5.77068E-011	7.187E-012	3.48219E-009	-6.30445E-013	-7.87083E-013	7.15771E-010	
60	21/08/2026	12:06:20:56	47.562	2.16605E-010	5.77184E-011	7.10803E-012	3.47933E-009	-6.38972E-013	-8.05064E-013	7.15938E-010	
61	21/08/2026	12:06:21:36	48.362	2.16439E-010	5.77596E-011	6.98383E-012	3.47718E-009	-6.29148E-013	-7.88566E-013	7.16216E-010	
62	21/08/2026	12:06:22:17	49.172	2.1642E-010	5.77796E-011	6.84073E-012	3.47551E-009	-6.21733E-013	-8.16928E-013	7.1668E-010	
63	21/08/2026	12:06:22:97	49.972	2.16309E-010	5.77726E-011	6.71319E-012	3.47311E-009	-5.98376E-013	-7.66137E-013	7.16717E-010	
64	21/08/2026	12:06:23:78	50.782	2.16329E-010	5.77429E-011	6.62014E-012	3.47256E-009	-6.38457E-013	-8.02098E-013	7.17143E-010	
65	21/08/2026	12:06:24:59	51.591	2.16235E-010	5.78263E-011	6.47081E-012	3.47189E-009	-6.42494E-013	-7.89679E-013	7.1731E-010	
66	21/08/2026	12:06:25:39	52.391	2.16253E-010	5.78375E-011	6.4014E-012	3.47133E-009	-5.84844E-013	-7.70956E-013	7.17551E-010	
67	21/08/2026	12:06:26:20	53.201	2.16288E-010	5.78301E-011	6.24421E-012	3.47044E-009	-6.25069E-013	-7.83376E-013	7.17922E-010	
68	21/08/2026	12:06:27:01	54.011	2.16125E-010	5.78838E-011	6.14652E-012	3.47097E-009	-6.05879E-013	-7.88937E-013	7.18125E-010	
69	21/08/2026	12:06:27:81	54.811	2.16292E-010	5.78375E-011	5.99883E-012	3.47051E-009	-6.52471E-013	-8.00615E-013	7.18237E-010	
70	21/08/2026	12:06:28:62	55.621	2.16234E-010	5.78523E-011	5.90628E-012	3.46921E-009	-6.23401E-013	-7.78556E-013	7.1853E-010	
71	21/08/2026	12:06:29:42	56.421	2.16142E-010	5.78805E-011	5.81261E-012	3.47014E-009	-6.41938E-013	-7.89678E-013	7.18478E-010	
72	21/08/2026	12:06:30:23	57.231	2.1618E-010	5.78484E-011	5.77522E-012	3.4694E-009	-6.37675E-013	-7.87083E-013	7.18663E-010	
73	21/08/2026	12:06:31:04	58.04	2.16216E-010	5.78375E-011	5.61358E-012	3.4699E-009	-6.36273E-013	-8.16557E-013	7.18774E-010	
74	21/08/2026	12:06:31:84	58.84	2.16253E-010	5.78745E-011	5.5068E-012	3.46911E-009	-6.703E-013	-7.39814E-013	7.19052E-010	
75	21/08/2026	12:06:32:65	59.65	2.16142E-010	5.79061E-011	5.44137E-012	3.46936E-009	-6.03937E-013	-7.76777E-013	7.19349E-010	
76	21/08/2026	12:06:33:45	60.45	2.16127E-010	5.7882E-011	5.36914E-012	3.46884E-009	-6.46572E-013	-7.86713E-013	7.19442E-010	
77	21/08/2026	12:06:34:25	61.25	2.16199E-010	5.7932E-011	5.32125E-012	3.46983E-009	-6.28265E-013	-8.10265E-013	7.19275E-010	
78	21/08/2026	12:06:35:05	62.05	2.16068E-010	5.79466E-011	5.23297E-012	3.46884E-009	-6.25255E-013	-7.97835E-013	7.19738E-010	
79	21/08/2026	12:06:35:85	62.85	2.16161E-010	5.79264E-011	5.12476E-012	3.46902E-009	-6.51763E-013	-8.03767E-013	7.19775E-010	
80	21/08/2026	12:06:36:65	63.65	2.16266E-010	5.79264E-011	5.07897E-012	3.47002E-009	-6.56293E-013	-8.27919E-013	7.20173E-010	
81	21/08/2026	12:06:37:45	64.459	2.16198E-010	5.7907E-011	4.96052E-012	3.46929E-009	-5.95966E-013	-7.77815E-013	7.20294E-010	
82	21/08/2026	12:06:38:25	65.259	2.16286E-010	5.79487E-011	4.96089E-012	3.469E-009	-6.34817E-013	-7.63171E-013	7.20294E-010	
83	21/08/2026	12:06:39:05	66.059	2.16233E-010	5.79283E-011	4.92029E-012	3.46947E-009	-6.03752E-013	-7.80595E-013	7.20331E-010	
84	21/08/2026	12:06:39:86	66.869	2.16124E-010	5.79487E-011	4.82631E-012	3.47032E-009	-6.36933E-013	-8.26011E-013	7.2085E-010	
85	21/08/2026	12:06:40:66	67.669	2.16309E-010	5.79691E-011	4.78367E-012	3.47014E-009	-6.11352E-013	-7.65951E-013	7.20925E-010	
86	21/08/2026	12:06:41:46	68.469	2.16179E-010	5.79202E-011	4.71175E-012	3.47061E-009	-6.22441E-013	-7.93942E-013	7.20888E-010	
87	21/08/2026	12:06:42:26	69.269	2.16309E-010	5.79227E-011	4.65706E-012	3.47032E-009	-6.49195E-013	-7.57053E-013	7.21277E-010	
88	21/08/2026	12:06:43:07	70.078	2.16327E-010	5.80127E-011	4.62759E-012	3.47056E-009	-6.73765E-013	-7.75961E-013	7.21481E-010	
89	21/08/2026	12:06:43:88	70.888	2.16318E-010	5.80265E-011	4.60757E-012	3.47186E-009	-6.50465E-013	-7.6799E-013	7.2161E-010	
90	21/08/2026	12:06:44:68	71.688	2.16344E-010	5.79969E-011	4.54028E-012	3.47199E-009	-6.67334E-013	-7.90049E-013	7.21852E-010	
91	21/08/2026	12:06:45:50	72.508	2.16383E-010	5.80266E-011	4.49042E-012	3.47273E-009	-6.04864E-013	-7.82264E-013	7.22018E-010	
92	21/08/2026	12:06:46:31	73.318	2.16383E-010	5.80117E-011	4.45615E-012	3.47258E-009	-6.39367E-013	-8.05533E-013	7.22092E-010	
93	21/08/2026	12:06:47:11	74.118	2.1642E-010	5.79938E-011	4.40459E-012	3.47313E-009	-5.98562E-013	-7.88381E-013	7.22111E-010	
94	21/08/2026	12:06:47:91	74.918	2.16348E-010	5.80191E-011	4.37326E-012	3.4733E-009	-6.61402E-013	-7.42038E-013	7.22148E-010	
95	21/08/2026	12:06:48:71	75.718	2.16327E-010	5.80335E-011	4.33943E-012	3.47294E-009	-6.53927E-013	-7.78597E-013	7.22333E-010	
96	21/08/2026	12:06:49:52	76.527	2.16499E-010	5.7958E-011	4.27843E-012	3.47258E-009	-6.04241E-013	-7.87825E-013	7.22463E-010	
97	21/08/2026	12:06:50:32	77.327	2.1629E-010	5.7983E-011	4.27001E-012	3.47273E-009	-6.30074E-013	-7.93757E-013	7.2263E-010	
98	21/08/2026	12:06:51:13	78.137	2.16439E-010	5.80173E-011	4.24962E-012	3.47404E-009	-6.25811E-013	-7.95425E-013	7.22741E-010	
99	21/08/2026	12:06:51:94	78.947	2.16494E-010	5.80358E-011	4.17121E-012	3.47365E-009	-5.90034E-013	-7.62614E-013	7.23149E-010	
100	21/08/2026	12:06:52:74	79.747	2.16531E-010	5.80265E-011	4.17566E-012	3.47423E-009	-6.37489E-013	-7.9802E-013	7.23186E-010	
101	21/08/2026	12:06:53:54	80.547	2.16383E-010	5.80154E-011	4.13284E-012	3.47366E-009	-6.27901E-013	-7.7763E-013	7.23205E-010	
102	21/08/2026	12:06:54:34	81.347	2.16494E-010	5.80451E-011	4.12431E-012	3.47402E-009	-6.19138E-013	-7.7522E-013	7.23205E-010	
103	21/08/2026	12:06:55:15	82.156	2.16457E-010	5.80321E-011	4.09873E-012	3.47477E-009	-6.43371E-013	-8.05064E-013	7.23427E-010	
104	21/08/2026	12:06:55:96	82.966	2.16494E-010	5.80506E-011	4.07352E-012	3.4757E-009	-6.27294E-013	-8.16928E-013	7.23779E-010	
105	21/08/2026	12:06:56:77	83.776	2.16605E-010	5.81081E-011	4.02273E-012	3.47681E-009	-6.3545E-013	-7.73737E-013	7.23742E-010	
106	21/08/2026	12:06:57:58	84.586	2.16439E-010	5.80788E-011	4.01605E-012	3.47639E-009	-6.30813E-013	-7.87269E-013	7.23724E-010	
107	21/08/2026	12:06:58:39	85.396	2.16494E-010	5.80951E-011	3.9736E-012	3.47718E-009	-6.31372E-013	-7.96537E-013	7.23854E-010	
108	21/08/2026	12:06:59:19	86.196	2.16587E-010	5.80729E-011	3.91958E-012	3.47792E-009	-6.2785E-013	-7.60019E-013	7.2402E-010	
109	21/08/2026	12:06:59:99	86.996	2.16661E-010	5.8034E-011	3.93875E-012	3.47774E-009	-6.28962E-013	-7.84303E-013	7.24243E-010	
110	21/08/2026	12:07:00:80	87.805	2.16624E-010	5.80562E-011	3.91021E-012	3.47893E-009	-6.02603E-013	-7.74293E-013	7.2415E-010	
111	21/08/2026	12:07:01:61	88.615	2.16791E-010	5.81007E-011	3.86701E-012	3.47884E-009	-6.20806E-013	-8.01172E-013	7.24558E-010	
112	21/08/2026	12:07:02:42	89.425	2.16772E-010	5.8097E-011	3.7925E-012	3.47922E-009	-6.07699E-013	-7.56497E-013	7.24762E-010	
113	21/08/2026	12:07:03:23	90.235	2.16717E-010	5.80951E-011	3.81872E-012	3.47885E-009	-5.93186E-013	-7.97279E-013	7.24966E-010	
114	21/08/2026	12:07:04:03	91.035	2.16828E-010	5.81044E-011	3.8064E-012	3.47866E-009	-6.16981E-013	-7.82634E-013	7.24838E-010	
115	21/08/2026	12:07:04:83	91.835	2.16717E-010	5.81044E-011	3.76506E-012	3.48027E-009	-6.02239E-013	-8.0284E-013	7.24966E-010	
116	21/08/2026	12:07:05:63	92.635	2.16735E-010	5.80544E-011	3.7697E-012	3.47914E-009	-6.18073E-013	-7.91347E-013	7.25058E-010	
117	21/08/2026	12:07:06:43	93.435	2.1668E-010	5.81081E-011	3.74449E-012	3.48075E-009	-6.25996E-013	-7.93015E-013	7.25077E-010	
118	21/08/2026	12:07:07:24	94.244	2.16865E-010	5.80766E-011	3.71909E-012	3.4813E-009	-6.22077E-013	-7.84117E-013	7.25133E-010	
119	21/08/2026	12:07:08:05	95.054	2.16735E-010	5.81211E-011	3.71093E-012	3.48239E-009	-6.27901E-013	-8.1285E-013	7.25373E-010	
120	21/08/2026	12:07:08:86	95.864	2.16791E-010	5.80896E-011	3.72595E-012	3.48223E-009	-6.15615E-013	-8.10069E-013	7.25577E-010	
121	21/08/2026	12:07:09:66	96.664	2.16821E-010	5.81163E-011	3.64754E-012	3.48163E-009	-6.23715E-013	-7.65581E-013	7.25781E-010	
122	21/08/2026	12:07:10:47	97.474	2.16791E-010	5.81637E-011	3.64809E-012	3.48247E-009	-6.07089E-013	-7.65951E-013	7.25855E-010	
123	21/08/2026	12:07:11:27	98.274	2.16939E-010	5.8109E-011	3.63641E-012	3.48223E-009	-6.21713E-013	-7.60575E-013	7.25763E-010	
124	21/08/2026	12:07:12:07	99.074	2.16809E-010	5.8147E-011	3.59971E-012	3.48294E-009	-5.98005E-013	-7.82264E-013	7.25782E-010	
125	21/08/2026	12:07:12:87	99.874	2.16902E-010	5.816E-011	3.56838E-012	3.48243E-009	-6.03752E-013	-7.61131E-013	7.25971E-010	
126	21/08/2026	12:07:13:68	100.683	2.16976E-010	5.81192E-011	3.58006E-012	3.48313E-009	-5.91147E-013	-7.72995E-013	7.26059E-010	
127	21/08/2026	12:07:14:49	101.493	2.16976E-010	5.81676E-011	3.54713E-012	3.4823E-009	-6.47011E-013	-7.46858E-013	7.26375E-010	
128	21/08/2026	12:07:15:30	102.303	2.16958E-010	5.81989E-011	3.5124E-012	3.48295E-009	-6.28036E-013	-7.58941E-013	7.26634E-010	
129	21/08/2026	12:07:16:11	103.113	2.16939E-010	5.81884E-011	3.53372E-012	3.48348E-009	-6.13577E-013	-7.8041E-013	7.26634E-010	
130	21/08/2026	12:07:16:91	103.913	2.17106E-010	5.81415E-011	3.50944E-012	3.48404E-009	-6.33179E-013	-7.83376E-013	7.26652E-010	
131	21/08/2026	12:07:17:71	104.713	2.17087E-010	5.81526E-011	3.48422E-012	3.48365E-009	-6.44163E-013	-7.64283E-013	7.26523E-010	
